ticker,ex_date,cum_date,dividend,stock_before,stock_after,perp_before,perp_after,pnl_share_priceDiv,funding_share,fees_share,pnl_share_full,pnl_notional_full,stock_drop,stock_drop_ratio,perp_drop,perp_drop_ratio,basis_gap,overnight_dev_x_div,funding_sum_pct,A_plain,B_delta_neutral,C_perp_short
STRC,2025-08-15,2025-08-14,0.8000,98.01,97.78,,,,,,,,0.2300,0.288,,,,,,439.1,,
STRC,2025-09-15,2025-09-12,0.8330,97.25,96.80,,,,,,,,0.4500,0.540,,,,,,245.4,,
STRC,2025-10-15,2025-10-14,0.8540,98.80,98.35,,,,,,,,0.4500,0.527,,,,,,259.2,,
STRC,2025-11-14,2025-11-13,0.8750,98.62,98.00,,,,,,,,0.6250,0.714,,,,,,100.4,,
STRC,2025-12-15,2025-12-12,0.8960,99.06,98.75,,,,,,,,0.3100,0.346,,,,,,435.9,,
STRC,2026-01-15,2026-01-14,0.9170,100.05,99.55,,,,,,,,0.5000,0.545,,,,,,259.3,,
STRC,2026-02-13,2026-02-12,0.9380,100.03,99.54,,,,,,,,0.4900,0.522,,,,,,287.2,,
STRC,2026-03-13,2026-03-12,0.9580,100.01,99.68,,,,,,,,0.3300,0.344,,,,,,464.2,,
STRC,2026-04-15,2026-04-14,0.9580,100.00,99.44,,,,,,,,0.5600,0.585,,,,,,234.3,,
STRC,2026-05-15,2026-05-14,0.9580,100.00,99.15,,,,,,,,0.8500,0.887,,,,,,-55.7,,
STRC,2026-06-15,2026-06-12,0.9580,94.80,94.32,,,,,,,,0.4800,0.501,,,,,,332.6,,
STRC,2026-06-30,2026-06-29,0.4790,83.67,80.99,83.83,81.70,-0.1429,-0.1166,-0.0669,-0.3264,-390.1,2.6800,5.595,2.1300,4.447,-0.5500,8.90,-0.1394,-2736.4,-394.9,2341.6
MSFT,2025-08-21,2025-08-20,0.8300,505.72,503.69,,,,,,,,2.0300,2.446,,,,,,-281.9,,
MSFT,2025-11-20,2025-11-19,0.9100,487.12,492.71,,,,,,,,-5.5900,-6.143,,,,,,1286.4,,
MSFT,2026-02-19,2026-02-18,0.9100,399.60,400.69,400.35,401.98,0.2335,0.0549,-0.3197,-0.0313,-7.8,-1.0900,-1.198,-1.6300,-1.791,-0.5400,2.85,0.0137,446.3,-7.1,-453.4
MSFT,2026-05-21,2026-05-20,0.9100,421.06,424.75,420.08,418.54,6.0035,0.0398,-0.3368,5.7064,1355.3,-3.6900,-4.055,1.5400,1.692,5.2300,13.96,0.0094,1040.1,1356.1,316.0
AAPL,2025-08-11,2025-08-08,0.2600,229.35,227.92,,,,,,,,1.4300,5.500,,,,,,-547.1,,
AAPL,2025-11-10,2025-11-07,0.2600,268.47,268.96,,,,,,,,-0.4900,-1.885,,,,,,244.8,,
AAPL,2026-02-09,2026-02-06,0.2600,278.12,277.91,277.33,273.98,3.3610,-0.0196,-0.2225,3.1189,1121.4,0.2100,0.808,3.3500,12.885,3.1400,30.65,-0.0070,-16.0,1124.9,1140.9
AAPL,2026-05-11,2026-05-08,0.2700,293.32,291.98,293.00,291.73,0.1595,0.0923,-0.2347,0.0171,5.8,1.3400,4.963,1.2700,4.704,-0.0700,9.63,0.0315,-398.6,6.3,404.9
NVDA,2025-09-11,2025-09-10,0.0100,177.33,179.68,,,,,,,,-2.3500,-234.999,,,,,,1310.0,,
NVDA,2025-12-04,2025-12-03,0.0100,179.59,181.62,,,,,,,,-2.0300,-203.000,,,,,,1115.1,,
NVDA,2026-03-11,2026-03-10,0.0100,184.77,185.91,184.84,186.79,-0.8015,0.0208,-0.1478,-0.9285,-502.5,-1.1400,-114.000,-1.9500,-195.000,-0.8100,217.00,0.0113,601.6,-502.1,-1103.7
NVDA,2026-06-04,2026-06-03,0.2500,214.75,213.91,214.98,212.50,1.8525,0.0397,-0.1718,1.7204,801.1,0.8400,3.360,2.4800,9.920,1.6400,14.00,0.0185,-312.2,799.9,1112.1
GOOGL,2025-09-08,2025-09-05,0.2100,235.00,235.47,,,,,,,,-0.4700,-2.238,,,,,,256.0,,
GOOGL,2025-12-08,2025-12-05,0.2100,321.27,320.05,,,,,,,,1.2200,5.810,,,,,,-344.2,,
GOOGL,2026-03-09,2026-03-06,0.2100,298.52,294.36,297.97,295.49,-1.5015,-0.1977,-0.2388,-1.9381,-649.2,4.1600,19.810,2.4800,11.810,-1.6800,46.29,-0.0662,-1353.7,-647.7,706.1
GOOGL,2026-06-08,2026-06-05,0.2200,368.53,365.18,366.98,362.78,1.0370,0.1020,-0.2948,0.8442,229.1,3.3500,15.227,4.2000,19.091,0.8500,35.09,0.0277,-878.3,233.9,1112.2
